k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,0,-1,0,0,0,0,1.8956786333333344,22.666666666666664,0
0,-1,-1,0,0,0,0,0.5346033333333333,17.666666666666668,0
1,-1,0,2,0,0,0,6.479572733333329,27.0,0
1,-1,3,2,0,2,9,24.200949056666666,31.566666666666663,0
1,-1,5,2,0,2,9,39.81429769333333,34.5,0
1,0,-1,2,0,0,0,2.4783698333333337,25.0,0
1,1,0,2,2,0,0,8.622485633333337,29.0,0
1,1,3,2,2,2,9,25.18843666666667,32.83333333333333,0
1,1,5,2,2,2,9,39.81455927,35.5,0
1,1,10,2,2,2,9,76.59371802666666,38.06666666666666,0
1,3,-1,2,2,0,9,8.16686871,27.766666666666666,0
1,5,-1,2,2,0,9,13.188841726666666,30.53333333333333,0
1,5,-1,2,4,0,9,14.87706948,30.7,0
1,5,-1,4,4,0,9,15.286529743333334,30.766666666666666,0
1,10,-1,2,2,0,9,25.591188956666667,34.266666666666666,0
1,10,-1,2,4,0,9,29.00706202333333,34.3,0
1,10,-1,4,4,0,9,29.72461492,34.43333333333333,0
-1,-1,0,0,0,0,0,6.226265233333329,25.0,1
-1,-1,3,0,0,2,9,25.83546444333333,30.300000000000004,1
-1,-1,5,0,0,2,9,43.03784303,33.599999999999994,1
-1,-1,5,0,0,4,9,50.85276865666666,33.766666666666666,1
-1,-1,10,0,0,2,9,86.20870097333335,36.66666666666666,1
-1,0,-1,0,0,0,0,1.8956786333333344,22.666666666666664,1
-1,5,-1,0,2,0,9,13.700121889999998,29.4,1
-1,5,-1,0,4,0,9,15.67924145666667,29.766666666666666,1
-1,10,-1,0,2,0,9,27.328774806666665,33.266666666666666,1
-1,10,-1,0,4,0,9,31.330907183333323,33.46666666666667,1
0,-1,-1,0,0,0,0,0.5346033333333333,17.666666666666668,1
5,-1,-1,2,0,0,9,3.918212999999999,23.1,1
10,-1,-1,2,0,0,9,7.855109166666665,26.13333333333333,1
10,-1,-1,4,0,0,9,8.852467,26.566666666666663,1
