k1,k2,k3,k4,t1,t2,t3,t4,loop,cost,accuracy,Singular
-1,-1,-1,0,0,0,0,0,0,1.4352979591836736,42.85714285714285,0
-1,-1,0,-1,0,0,0,0,0,0.5826214285714286,34.69387755102041,0
-1,0,-1,-1,0,0,0,0,0,0.2216714285714285,26.53061224489796,0
-1,1,0,-1,0,2,0,0,0,0.918976326530612,36.734693877551024,0
-1,1,1,0,0,2,4,0,0,2.6050271428571428,44.89795918367347,0
-1,1,1,5,0,2,2,2,9,6.899611142857143,45.51020408163266,0
-1,1,1,5,0,4,2,2,9,7.567252979591836,46.12244897959184,0
0,-1,-1,-1,0,0,0,0,0,0.1549175510204082,14.285714285714285,0
-1,-1,-1,0,0,0,0,0,0,1.4352979591836736,42.85714285714285,1
-1,-1,0,-1,0,0,0,0,0,0.5826214285714286,34.69387755102041,1
-1,0,-1,-1,0,0,0,0,0,0.2216714285714285,26.53061224489796,1
0,-1,-1,-1,0,0,0,0,0,0.1549175510204082,14.285714285714285,1
