k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,10,0,0,4,9,4.687417959183674,69.38775510204081,0
-1,0,-1,0,0,0,0,0.0676583673469387,38.775510204081634,0
-1,1,0,0,2,0,0,0.2611375510204082,59.18367346938776,0
-1,1,0,0,4,0,0,0.2935261224489796,65.3061224489796,0
-1,1,10,0,4,2,9,2.480422040816327,67.55102040816327,0
-1,1,10,0,4,4,9,2.990092897959184,68.57142857142857,0
-1,3,-1,0,2,0,9,0.2229558367346938,41.22448979591836,0
-1,3,-1,0,4,0,9,0.2445888979591836,42.24489795918368,0
0,-1,-1,0,0,0,0,0.0393608163265306,14.285714285714285,0
1,1,10,2,4,2,9,2.332514448979592,66.73469387755102,0
1,3,-1,2,2,0,9,0.2298909387755101,41.83673469387755,0
1,3,-1,2,4,0,9,0.2479078775510204,42.6530612244898,0
1,3,-1,4,2,0,9,0.2434390612244897,42.24489795918367,0
-1,-1,0,0,0,0,0,0.3476093877551021,63.26530612244898,1
-1,-1,5,0,0,2,9,1.9555078775510208,63.46938775510205,1
-1,-1,5,0,0,4,9,2.3542803673469392,65.3061224489796,1
-1,-1,10,0,0,2,9,3.914747877551021,68.36734693877551,1
-1,-1,10,0,0,4,9,4.687417959183674,69.38775510204081,1
-1,0,-1,0,0,0,0,0.0676583673469387,38.775510204081634,1
-1,3,-1,0,2,0,9,0.2229558367346938,41.22448979591836,1
-1,3,-1,0,4,0,9,0.2445888979591836,42.24489795918368,1
0,-1,-1,0,0,0,0,0.0393608163265306,14.285714285714285,1
