k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,0.2656755102040817,57.14285714285714,0
-1,-1,10,0,0,2,9,2.97652012244898,72.6530612244898,0
-1,0,-1,0,0,0,0,0.0391085714285714,34.69387755102041,0
-1,1,0,0,2,0,0,0.2015012244897959,51.02040816326531,0
-1,3,-1,0,2,0,9,0.1294187755102041,43.87755102040816,0
0,-1,-1,0,0,0,0,0.0233,26.53061224489796,0
1,-1,3,4,0,2,9,0.7060851428571429,63.6734693877551,0
1,0,-1,2,0,0,0,0.0585571428571428,38.775510204081634,0
1,1,0,2,2,0,0,0.2117171428571428,53.06122448979592,0
1,3,-1,4,2,0,9,0.1319857142857143,46.93877551020408,0
1,3,-1,4,4,0,9,0.1407844081632653,48.16326530612245,0
1,3,0,4,4,0,9,0.2999326530612244,58.77551020408163,0
1,5,-1,4,2,0,9,0.1995086530612244,50.6122448979592,0
1,5,-1,4,4,0,9,0.2132882448979591,53.265306122448976,0
1,5,0,4,4,0,9,0.3554731836734693,60.61224489795919,0
1,5,3,4,4,2,9,0.6921003265306124,62.65306122448979,0
1,5,10,4,4,2,9,1.8188215510204084,70.81632653061224,0
1,10,0,4,4,0,9,0.5280390204081633,62.24489795918367,0
1,10,3,4,4,2,9,0.838549836734694,65.10204081632654,0
1,10,5,4,4,2,9,1.1419121632653062,67.14285714285715,0
1,10,10,4,4,2,9,1.8990641224489797,72.44897959183673,0
-1,-1,0,0,0,0,0,0.2656755102040817,57.14285714285714,1
-1,-1,3,0,0,2,9,0.8865549387755103,64.08163265306122,1
-1,-1,5,0,0,2,9,1.4834975918367346,66.73469387755102,1
-1,-1,10,0,0,2,9,2.97652012244898,72.6530612244898,1
-1,0,-1,0,0,0,0,0.0391085714285714,34.69387755102041,1
-1,3,-1,0,2,0,9,0.1294187755102041,43.87755102040816,1
-1,3,-1,0,4,0,9,0.1401479183673469,45.102040816326536,1
-1,5,-1,0,2,0,9,0.2163098775510204,48.775510204081634,1
-1,5,-1,0,4,0,9,0.233374693877551,51.42857142857142,1
-1,10,-1,0,4,0,9,0.4661387755102041,57.75510204081632,1
0,-1,-1,0,0,0,0,0.0233,26.53061224489796,1
