k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,10,0,0,4,9,3.326057416,82.85714285714285,0
-1,0,-1,0,0,0,0,0.0798931,69.38775510204081,0
-1,5,-1,0,4,0,9,0.509939955,76.73469387755102,0
-1,5,10,0,4,2,9,0.5886168829999999,77.3469387755102,0
-1,10,-1,0,4,0,9,1.015589995,79.18367346938776,0
-1,10,10,0,4,2,9,1.086697163,79.79591836734694,0
0,-1,-1,0,0,0,0,0.02933408,59.18367346938776,0
3,-1,-1,4,0,0,9,0.1126179039999999,70.0,0
3,-1,0,4,0,0,9,0.1126179039999999,70.0,0
3,3,-1,4,4,0,9,0.1226254889999999,70.20408163265306,0
3,5,10,4,4,2,9,0.186753664,70.61224489795919,0
3,10,-1,4,2,0,9,0.139308344,70.40816326530613,0
5,-1,-1,4,0,0,9,0.1868599919999999,71.83673469387755,0
5,-1,0,4,0,0,9,0.1868599919999999,71.83673469387755,0
5,-1,10,4,0,2,9,0.2883818079999999,72.44897959183673,0
5,3,10,4,4,2,9,0.241022673,72.0408163265306,0
5,10,10,4,4,2,9,0.2719914619999999,72.24489795918367,0
10,-1,-1,4,0,0,9,0.373404696,74.48979591836735,0
10,-1,0,4,0,0,9,0.373404696,74.48979591836735,0
10,3,10,4,2,2,9,0.42914565,74.6938775510204,0
-1,-1,10,0,0,4,9,3.326057416,82.85714285714285,1
-1,0,-1,0,0,0,0,0.0798931,69.38775510204081,1
-1,3,-1,0,4,0,9,0.30561804,72.24489795918367,1
-1,5,-1,0,4,0,9,0.509939955,76.73469387755102,1
-1,10,-1,0,4,0,9,1.015589995,79.18367346938776,1
0,-1,-1,0,0,0,0,0.02933408,59.18367346938776,1
3,-1,-1,4,0,0,9,0.1126179039999999,70.0,1
5,-1,-1,4,0,0,9,0.1868599919999999,71.83673469387755,1
10,-1,-1,2,0,0,9,0.319611784,72.44897959183673,1
10,-1,-1,4,0,0,9,0.373404696,74.48979591836735,1
