k1,k2,k3,t1,t2,t3,loop,cost,accuracy
-1,-1,0,0,0,0,0,0.7571986400000003,72.5609756097561
-1,-1,3,0,0,2,9,2.658831648000001,77.07317073170732
-1,-1,3,0,0,4,9,3.1502062240000006,78.17073170731707
-1,-1,5,0,0,2,9,4.4217255280000005,78.65853658536585
-1,-1,5,0,0,4,9,5.242528368,80.42682926829269
-1,-1,10,0,0,2,9,8.851700880000001,80.54878048780488
-1,-1,10,0,0,4,9,10.472714384000001,82.2560975609756
-1,0,-1,0,0,0,0,0.24607659999999995,64.63414634146342
-1,1,0,0,2,0,0,0.29478785000000013,64.63414634146342
-1,1,0,0,4,0,0,0.4464241399999998,66.46341463414635
-1,1,3,0,2,2,9,0.29478785000000013,64.63414634146342
-1,1,3,0,2,4,9,0.29478785000000013,64.63414634146342
-1,1,3,0,4,2,9,0.5938280119999997,66.52439024390245
-1,1,3,0,4,4,9,0.6270620919999997,66.52439024390245
-1,1,5,0,2,2,9,0.29478785000000013,64.63414634146342
-1,1,5,0,2,4,9,0.29478785000000013,64.63414634146342
-1,1,5,0,4,2,9,0.7313426199999998,66.76829268292683
-1,1,5,0,4,4,9,0.7875733879999998,66.52439024390245
-1,1,10,0,2,2,9,0.29478785000000013,64.63414634146342
-1,1,10,0,2,4,9,0.29478785000000013,64.63414634146342
-1,1,10,0,4,2,9,1.0862267319999996,66.70731707317074
-1,1,10,0,4,4,9,1.1979231959999999,66.52439024390245
-1,3,-1,0,2,0,9,0.8138542650000001,69.6341463414634
-1,3,-1,0,4,0,9,0.9707038249999999,72.07317073170731
-1,3,0,0,2,0,9,0.909799961,72.6829268292683
-1,3,0,0,4,0,9,1.072707353,75.0
-1,3,3,0,2,2,9,1.146711185,73.10975609756098
-1,3,3,0,2,4,9,1.211574313,72.92682926829268
-1,3,3,0,4,2,9,1.325915825,75.54878048780488
-1,3,3,0,4,4,9,1.4028258009999999,75.36585365853658
-1,3,5,0,2,2,9,1.361479849,73.17073170731707
-1,3,5,0,2,4,9,1.4676406730000002,72.98780487804878
-1,3,5,0,4,2,9,1.5575788169999998,75.67073170731707
-1,3,5,0,4,4,9,1.6798243689999999,75.48780487804878
-1,3,10,0,2,2,9,1.9188914730000002,73.59756097560975
-1,3,10,0,2,4,9,2.1328161289999996,73.53658536585365
-1,3,10,0,4,2,9,2.152499209,76.03658536585365
-1,3,10,0,4,4,9,2.3905337529999997,75.97560975609755
-1,5,-1,0,2,0,9,1.3585158649999998,72.1951219512195
-1,5,-1,0,4,0,9,1.6223000849999996,75.42682926829268
-1,5,0,0,2,0,9,1.450881105,74.32926829268293
-1,5,0,0,4,0,9,1.7076906209999998,77.13414634146342
-1,5,3,0,2,2,9,1.6800383849999998,74.63414634146342
-1,5,3,0,2,4,9,1.7423836569999998,74.57317073170732
-1,5,3,0,4,2,9,1.9186582129999994,77.19512195121952
-1,5,3,0,4,4,9,1.9827522209999995,77.13414634146342
-1,5,5,0,2,2,9,1.8862698169999998,74.6951219512195
-1,5,5,0,2,4,9,1.988862329,74.51219512195122
-1,5,5,0,4,2,9,2.1104059009999996,77.3170731707317
-1,5,5,0,4,4,9,2.214496173,77.19512195121952
-1,5,10,0,2,2,9,2.4193226009999997,75.2439024390244
-1,5,10,0,2,4,9,2.6241574730000004,75.0609756097561
-1,5,10,0,4,2,9,2.6087025569999995,77.8658536585366
-1,5,10,0,4,4,9,2.8097080209999996,77.6829268292683
-1,10,-1,0,2,0,9,2.7099993549999994,75.3048780487805
-1,10,-1,0,4,0,9,3.2380326299999997,78.78048780487805
-1,10,0,0,2,0,9,2.788463763,76.28048780487805
-1,10,0,0,4,0,9,3.3069761420000003,79.81707317073172
-1,10,3,0,2,2,9,2.982723235,76.58536585365854
-1,10,3,0,2,4,9,3.0362256509999996,76.58536585365854
-1,10,3,0,4,2,9,3.4767431899999997,79.75609756097562
-1,10,3,0,4,4,9,3.5259607980000003,79.69512195121952
-1,10,5,0,2,2,9,3.154781451,76.58536585365854
-1,10,5,0,2,4,9,3.2435338509999996,76.40243902439025
-1,10,5,0,4,2,9,3.6281707739999995,79.8170731707317
-1,10,5,0,4,4,9,3.7084405899999995,79.57317073170731
-1,10,10,0,2,2,9,3.6044049549999997,77.01219512195122
-1,10,10,0,2,4,9,3.7822174029999998,76.89024390243902
-1,10,10,0,4,2,9,4.028275094,80.18292682926828
