model,pass_at,testlines,loop,cost,accuracy
13B,0,2,1,0.01495472,0.6463414634146342
13B,0,4,1,0.04220803840000001,0.6463414634146342
13B,1,2,1,0.09050208640000001,0.6463414634146342
13B,1,4,1,0.1177554048,0.6463414634146342
13B,3,2,10,0.24985937855999998,0.6963414634146341
13B,3,4,10,0.2980133728,0.7207317073170731
13B,5,2,10,0.41707458495999994,0.7219512195121951
13B,5,4,10,0.49805832383999993,0.7542682926829268
13B,10,2,10,0.8319901779200001,0.7530487804878049
13B,10,4,10,0.9941003635200001,0.7878048780487805
34B,0,2,1,0.0154773696,0.725609756097561
34B,0,4,1,0.0332903296,0.725609756097561
34B,1,2,1,0.0918556672,0.725609756097561
34B,1,4,1,0.10966862720000001,0.725609756097561
34B,3,2,10,0.26819519232,0.7707317073170732
34B,3,4,10,0.31775993216,0.7817073170731708
34B,5,2,10,0.44601753152000007,0.7865853658536586
34B,5,4,10,0.52881155712,0.8042682926829269
34B,10,2,10,0.8928672192,0.8054878048780487
34B,10,4,10,1.05637814656,0.822560975609756
7B,0,2,1,0.0153752896,0.5670731707317073
7B,0,4,1,0.030389216,0.5670731707317073
7B,1,2,1,0.0927641792,0.5670731707317073
7B,1,4,1,0.10777810560000001,0.5670731707317073
7B,3,2,10,0.2588350688,0.6426829268292683
7B,3,4,10,0.30751865408,0.6658536585365854
7B,5,2,10,0.43177104256,0.677439024390244
7B,5,4,10,0.5122098784,0.7060975609756097
7B,10,2,10,0.8639524467199999,0.7054878048780487
7B,10,4,10,1.02362516608,0.7378048780487805
