k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,0,-1,0,0,0,0,0.0097110204081632,32.6530612244898,0
-1,1,0,0,2,0,0,0.0448310204081632,34.69387755102041,0
-1,1,3,0,2,2,9,0.151965387755102,36.12244897959184,0
-1,1,5,0,2,2,9,0.2460552653061224,37.755102040816325,0
-1,1,10,0,2,2,9,0.4787695102040816,39.59183673469388,0
-1,3,0,0,2,0,9,0.1083223673469387,35.51020408163265,0
0,-1,-1,0,0,0,0,0.0076469387755102,28.57142857142857,0
3,1,10,2,2,2,9,0.4670687346938776,38.775510204081634,0
3,1,10,4,2,2,9,0.4786547755102041,39.18367346938776,0
5,1,3,4,2,2,9,0.2047531428571428,36.3265306122449,0
5,1,5,4,2,2,9,0.2919734693877551,37.95918367346939,0
