k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,0.1162659375,52.34375,0
-1,0,-1,0,0,0,0,0.01696,39.0625,0
0,-1,-1,0,0,0,0,0.012496875,32.03125,0
1,-1,0,4,0,0,0,0.13276203125,53.125,0
1,-1,3,4,0,4,9,0.7776747187500002,55.703125,0
1,-1,5,4,0,2,9,0.93308959375,57.03125,0
1,-1,5,4,0,4,9,1.2772330000000005,57.8125,0
1,0,-1,2,0,0,0,0.0337023437499999,41.40625,0
1,1,3,4,4,2,9,0.506886328125,54.60937500000001,0
1,1,3,4,4,4,9,0.6757148125000001,55.625,0
1,1,5,4,4,2,9,0.8051274062499999,56.640625,0
1,1,5,4,4,4,9,1.0849508125,57.578125,0
1,3,-1,2,2,0,9,0.08832759375,42.1875,0
1,3,-1,2,4,0,9,0.10522484375,42.578125,0
1,3,-1,4,2,0,9,0.09854825,42.5,0
1,10,0,4,2,0,9,0.375873859375,53.20312499999999,0
-1,-1,0,0,0,0,0,0.1162659375,52.34375,1
-1,-1,3,0,0,2,9,0.59867221875,54.140625,1
-1,-1,3,0,0,4,9,0.8314532500000003,55.234375,1
-1,-1,5,0,0,2,9,0.996839609375,56.56250000000001,1
-1,-1,5,0,0,4,9,1.3845204531250002,57.34375000000001,1
-1,0,-1,0,0,0,0,0.01696,39.0625,1
-1,3,-1,0,2,0,9,0.0806615,41.25,1
-1,3,-1,0,4,0,9,0.10096075,41.796875,1
0,-1,-1,0,0,0,0,0.012496875,32.03125,1
