k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,0,-1,0,0,0,0,0.3151285714285714,36.734693877551024,0
0,-1,-1,0,0,0,0,0.1005061224489795,32.6530612244898,0
5,-1,-1,4,0,0,9,1.050928,37.95918367346939,0
5,-1,0,4,0,0,9,1.050928,37.95918367346939,0
5,-1,3,4,0,2,9,1.050928,37.95918367346939,0
5,-1,3,4,0,4,9,1.050928,37.95918367346939,0
5,-1,5,4,0,2,9,1.050928,37.95918367346939,0
5,-1,5,4,0,4,9,1.050928,37.95918367346939,0
5,-1,10,4,0,2,9,1.050928,37.95918367346939,0
5,-1,10,4,0,4,9,1.050928,37.95918367346939,0
5,0,-1,4,0,0,9,1.050928,37.95918367346939,0
5,1,0,4,2,0,9,1.050928,37.95918367346939,0
5,1,0,4,4,0,9,1.050928,37.95918367346939,0
5,1,3,4,2,2,9,1.050928,37.95918367346939,0
5,1,3,4,2,4,9,1.050928,37.95918367346939,0
5,1,3,4,4,2,9,1.050928,37.95918367346939,0
5,1,3,4,4,4,9,1.050928,37.95918367346939,0
5,1,5,4,2,2,9,1.050928,37.95918367346939,0
5,1,5,4,2,4,9,1.050928,37.95918367346939,0
5,1,5,4,4,2,9,1.050928,37.95918367346939,0
5,1,5,4,4,4,9,1.050928,37.95918367346939,0
5,1,10,4,2,2,9,1.050928,37.95918367346939,0
5,1,10,4,2,4,9,1.050928,37.95918367346939,0
5,1,10,4,4,2,9,1.050928,37.95918367346939,0
5,1,10,4,4,4,9,1.050928,37.95918367346939,0
5,3,-1,4,2,0,9,1.050928,37.95918367346939,0
5,3,-1,4,4,0,9,1.050928,37.95918367346939,0
5,3,0,4,2,0,9,1.050928,37.95918367346939,0
5,3,0,4,4,0,9,1.050928,37.95918367346939,0
5,3,3,4,2,2,9,1.050928,37.95918367346939,0
5,3,3,4,2,4,9,1.050928,37.95918367346939,0
5,3,3,4,4,2,9,1.050928,37.95918367346939,0
5,3,3,4,4,4,9,1.050928,37.95918367346939,0
5,3,5,4,2,2,9,1.050928,37.95918367346939,0
5,3,5,4,2,4,9,1.050928,37.95918367346939,0
5,3,5,4,4,2,9,1.050928,37.95918367346939,0
5,3,5,4,4,4,9,1.050928,37.95918367346939,0
5,3,10,4,2,2,9,1.050928,37.95918367346939,0
5,3,10,4,2,4,9,1.050928,37.95918367346939,0
5,3,10,4,4,2,9,1.050928,37.95918367346939,0
5,3,10,4,4,4,9,1.050928,37.95918367346939,0
5,5,-1,4,2,0,9,1.050928,37.95918367346939,0
5,5,-1,4,4,0,9,1.050928,37.95918367346939,0
5,5,0,4,2,0,9,1.050928,37.95918367346939,0
5,5,0,4,4,0,9,1.050928,37.95918367346939,0
5,5,3,4,2,2,9,1.050928,37.95918367346939,0
5,5,3,4,2,4,9,1.050928,37.95918367346939,0
5,5,3,4,4,2,9,1.050928,37.95918367346939,0
5,5,3,4,4,4,9,1.050928,37.95918367346939,0
5,5,5,4,2,2,9,1.050928,37.95918367346939,0
5,5,5,4,2,4,9,1.050928,37.95918367346939,0
5,5,5,4,4,2,9,1.050928,37.95918367346939,0
5,5,5,4,4,4,9,1.050928,37.95918367346939,0
5,5,10,4,2,2,9,1.050928,37.95918367346939,0
5,5,10,4,2,4,9,1.050928,37.95918367346939,0
5,5,10,4,4,2,9,1.050928,37.95918367346939,0
5,5,10,4,4,4,9,1.050928,37.95918367346939,0
5,10,-1,4,2,0,9,1.050928,37.95918367346939,0
5,10,-1,4,4,0,9,1.050928,37.95918367346939,0
5,10,0,4,2,0,9,1.050928,37.95918367346939,0
5,10,0,4,4,0,9,1.050928,37.95918367346939,0
5,10,3,4,2,2,9,1.050928,37.95918367346939,0
5,10,3,4,2,4,9,1.050928,37.95918367346939,0
5,10,3,4,4,2,9,1.050928,37.95918367346939,0
5,10,3,4,4,4,9,1.050928,37.95918367346939,0
5,10,5,4,2,2,9,1.050928,37.95918367346939,0
5,10,5,4,2,4,9,1.050928,37.95918367346939,0
5,10,5,4,4,2,9,1.050928,37.95918367346939,0
5,10,5,4,4,4,9,1.050928,37.95918367346939,0
5,10,10,4,2,2,9,1.050928,37.95918367346939,0
5,10,10,4,2,4,9,1.050928,37.95918367346939,0
5,10,10,4,4,2,9,1.050928,37.95918367346939,0
5,10,10,4,4,4,9,1.050928,37.95918367346939,0
10,-1,-1,2,0,0,9,1.5852048979591835,39.38775510204081,0
10,-1,-1,4,0,0,9,2.1103214693877552,39.795918367346935,0
10,-1,0,2,0,0,9,1.5852048979591835,39.38775510204081,0
10,-1,0,4,0,0,9,2.1103214693877552,39.795918367346935,0
10,-1,3,2,0,2,9,1.5852048979591835,39.38775510204081,0
10,-1,3,2,0,4,9,1.5852048979591835,39.38775510204081,0
10,-1,3,4,0,2,9,2.1103214693877552,39.795918367346935,0
10,-1,3,4,0,4,9,2.1103214693877552,39.795918367346935,0
10,-1,5,2,0,2,9,1.5852048979591835,39.38775510204081,0
10,-1,5,2,0,4,9,1.5852048979591835,39.38775510204081,0
10,-1,5,4,0,2,9,2.1103214693877552,39.795918367346935,0
10,-1,5,4,0,4,9,2.1103214693877552,39.795918367346935,0
10,-1,10,2,0,2,9,1.5852048979591835,39.38775510204081,0
10,-1,10,2,0,4,9,1.5852048979591835,39.38775510204081,0
10,-1,10,4,0,2,9,2.1103214693877552,39.795918367346935,0
10,-1,10,4,0,4,9,2.1103214693877552,39.795918367346935,0
10,0,-1,2,0,0,9,1.5852048979591835,39.38775510204081,0
10,0,-1,4,0,0,9,2.1103214693877552,39.795918367346935,0
10,1,0,2,2,0,9,1.5852048979591835,39.38775510204081,0
10,1,0,2,4,0,9,1.5852048979591835,39.38775510204081,0
10,1,0,4,2,0,9,2.1103214693877552,39.795918367346935,0
10,1,0,4,4,0,9,2.1103214693877552,39.795918367346935,0
10,1,3,2,2,2,9,1.5852048979591835,39.38775510204081,0
10,1,3,2,2,4,9,1.5852048979591835,39.38775510204081,0
10,1,3,2,4,2,9,1.5852048979591835,39.38775510204081,0
10,1,3,2,4,4,9,1.5852048979591835,39.38775510204081,0
10,1,3,4,2,2,9,2.1103214693877552,39.795918367346935,0
10,1,3,4,2,4,9,2.1103214693877552,39.795918367346935,0
10,1,3,4,4,2,9,2.1103214693877552,39.795918367346935,0
10,1,3,4,4,4,9,2.1103214693877552,39.795918367346935,0
10,1,5,2,2,2,9,1.5852048979591835,39.38775510204081,0
10,1,5,2,2,4,9,1.5852048979591835,39.38775510204081,0
10,1,5,2,4,2,9,1.5852048979591835,39.38775510204081,0
10,1,5,2,4,4,9,1.5852048979591835,39.38775510204081,0
10,1,5,4,2,2,9,2.1103214693877552,39.795918367346935,0
10,1,5,4,2,4,9,2.1103214693877552,39.795918367346935,0
10,1,5,4,4,2,9,2.1103214693877552,39.795918367346935,0
10,1,5,4,4,4,9,2.1103214693877552,39.795918367346935,0
10,1,10,2,2,2,9,1.5852048979591835,39.38775510204081,0
10,1,10,2,2,4,9,1.5852048979591835,39.38775510204081,0
10,1,10,2,4,2,9,1.5852048979591835,39.38775510204081,0
10,1,10,2,4,4,9,1.5852048979591835,39.38775510204081,0
10,1,10,4,2,2,9,2.1103214693877552,39.795918367346935,0
10,1,10,4,2,4,9,2.1103214693877552,39.795918367346935,0
10,1,10,4,4,2,9,2.1103214693877552,39.795918367346935,0
10,1,10,4,4,4,9,2.1103214693877552,39.795918367346935,0
10,3,-1,2,2,0,9,1.5852048979591835,39.38775510204081,0
10,3,-1,2,4,0,9,1.5852048979591835,39.38775510204081,0
10,3,-1,4,2,0,9,2.1103214693877552,39.795918367346935,0
10,3,-1,4,4,0,9,2.1103214693877552,39.795918367346935,0
10,3,0,2,2,0,9,1.5852048979591835,39.38775510204081,0
10,3,0,2,4,0,9,1.5852048979591835,39.38775510204081,0
10,3,0,4,2,0,9,2.1103214693877552,39.795918367346935,0
10,3,0,4,4,0,9,2.1103214693877552,39.795918367346935,0
10,3,3,2,2,2,9,1.5852048979591835,39.38775510204081,0
10,3,3,2,2,4,9,1.5852048979591835,39.38775510204081,0
10,3,3,2,4,2,9,1.5852048979591835,39.38775510204081,0
10,3,3,2,4,4,9,1.5852048979591835,39.38775510204081,0
10,3,3,4,2,2,9,2.1103214693877552,39.795918367346935,0
10,3,3,4,2,4,9,2.1103214693877552,39.795918367346935,0
10,3,3,4,4,2,9,2.1103214693877552,39.795918367346935,0
10,3,3,4,4,4,9,2.1103214693877552,39.795918367346935,0
10,3,5,2,2,2,9,1.5852048979591835,39.38775510204081,0
10,3,5,2,2,4,9,1.5852048979591835,39.38775510204081,0
10,3,5,2,4,2,9,1.5852048979591835,39.38775510204081,0
10,3,5,2,4,4,9,1.5852048979591835,39.38775510204081,0
10,3,5,4,2,2,9,2.1103214693877552,39.795918367346935,0
10,3,5,4,2,4,9,2.1103214693877552,39.795918367346935,0
10,3,5,4,4,2,9,2.1103214693877552,39.795918367346935,0
10,3,5,4,4,4,9,2.1103214693877552,39.795918367346935,0
