number,350M,2B,6B,16B
1,1,0,1,1
2,0,0,0,0
3,0,1,1,1
4,0,0,0,0
5,0,1,0,1
6,0,0,0,0
7,0,0,0,0
8,1,1,1,1
9,0,1,0,1
10,0,0,1,1
11,0,0,0,0
12,0,1,1,1
13,0,1,1,1
14,0,1,1,1
15,0,1,0,1
16,0,0,0,1
17,0,1,1,1
18,0,0,0,0
19,1,1,0,1
20,0,0,0,0
21,0,0,0,0
22,0,1,1,1
23,1,1,1,1
24,1,1,1,1
25,0,0,0,0
26,0,1,0,1
27,0,0,0,0
28,0,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,1,1
32,0,1,1,1
33,0,0,0,0
34,0,0,0,0
35,1,1,1,1
36,1,1,1,1
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,1,1,1,0
42,0,0,1,0
43,1,1,1,1
44,1,1,1,1
45,0,1,0,0
46,1,1,1,1
47,0,0,1,0
48,0,1,1,1
49,1,1,1,1
50,0,1,0,0
51,1,1,1,1
52,0,1,1,0
53,1,0,1,1
54,1,1,1,1
55,0,1,0,0
56,1,1,0,1
57,0,0,1,1
58,0,0,1,1
59,1,1,1,1
60,0,0,0,1
61,1,1,1,1
62,0,0,1,1
63,0,0,0,1
64,0,1,1,1
65,0,0,0,0
66,0,0,0,0
67,1,1,1,1
68,0,0,0,0
69,0,0,1,1
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,1,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,1
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,1
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,1,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,1
114,0,0,0,0
115,0,0,0,1
116,0,0,0,0
117,0,1,1,1
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,1,0
123,0,0,0,1
124,0,0,0,0
125,0,1,0,1
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,1,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,1,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,1
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,1,1,1,1
154,0,0,1,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,1,1
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
