number,7B,13B,34B
1,1,1,1
2,1,1,0
3,1,1,1
4,1,1,1
5,1,1,1
6,0,1,1
7,1,1,1
8,1,1,1
9,0,1,1
10,0,0,1
11,0,0,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,0,1,1
20,0,0,1
21,0,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,0,1
26,1,1,1
27,0,0,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,0,0,0
34,0,0,0
35,1,1,1
36,1,1,1
37,0,1,0
38,0,1,1
39,1,1,1
40,0,0,0
41,1,1,1
42,0,0,0
43,1,1,1
44,0,1,1
45,1,1,1
46,1,1,1
47,0,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,0,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,0,0,0
66,0,0,0
67,1,1,1
68,0,1,1
69,1,1,0
70,1,1,1
71,0,1,1
72,1,1,1
73,1,1,1
74,0,1,1
75,0,0,1
76,0,0,0
77,0,1,1
78,0,0,0
79,1,0,1
80,0,1,0
81,1,0,1
82,1,0,1
83,1,1,1
84,1,0,1
85,0,0,0
86,1,1,1
87,1,1,1
88,0,1,1
89,1,0,0
90,0,1,1
91,0,0,1
92,0,0,1
93,1,1,1
94,0,0,0
95,1,1,1
96,0,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,0,0,1
101,0,0,0
102,0,0,1
103,1,0,1
104,0,1,0
105,1,0,1
106,1,1,1
107,0,0,1
108,1,1,1
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,1,1,1
114,0,0,0
115,0,1,1
116,0,0,0
117,1,1,1
118,1,0,1
119,0,0,0
120,0,0,0
121,0,0,0
122,1,1,0
123,1,0,1
124,0,1,1
125,1,1,0
126,0,1,0
127,0,0,1
128,0,0,0
129,1,1,1
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,1,1,1
135,0,0,0
136,0,0,0
137,1,1,1
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,1,0
143,0,1,1
144,0,1,1
145,0,1,1
146,0,0,0
147,1,0,1
148,0,1,1
149,1,1,1
150,1,1,1
151,0,1,1
152,0,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,0,0,1
159,1,1,1
160,1,0,1
161,1,0,0
162,1,1,1
163,1,1,1
164,0,0,0
