Humaneval, Model WizardLM/WizardCoder-Python-7B-V1.0, 10 loops

Pass@0, batch size 22, limit 0, 35.9 seconds
Pass@1, batch size 22, limit 1, 44.6 seconds
Pass@1, batch size 22, limit 2, 45.9 seconds
Pass@1, batch size 22, limit 3, 55.1 seconds
Pass@1, batch size 22, limit 4, 66.9 seconds
Pass@10, batch size 1, limit 1, 20.1 seconds
Pass@10, batch size 1, limit 2, 25.2 seconds
Pass@10, batch size 1, limit 3, 21.0 seconds
Pass@10, batch size 1, limit 4, 28.1 seconds
Pass@5, batch size 3, limit 1, 30.7 seconds
Pass@5, batch size 3, limit 2, 33.4 seconds
Pass@5, batch size 3, limit 3, 33.5 seconds
Pass@5, batch size 3, limit 4, 44.7 seconds
Pass@4, batch size 5, limit 1, 42.9 seconds
Pass@4, batch size 5, limit 2, 43.7 seconds
Pass@4, batch size 5, limit 3, 45.1 seconds
Pass@4, batch size 5, limit 4, 43.6 seconds
Pass@3, batch size 7, limit 1, 42.6 seconds
Pass@3, batch size 7, limit 2, 41.9 seconds
Pass@3, batch size 7, limit 3, 44.5 seconds
Pass@3, batch size 7, limit 4, 61.9 seconds
Pass@2, batch size 10, limit 1, 34.7 seconds
Pass@2, batch size 10, limit 2, 51.0 seconds
Pass@2, batch size 10, limit 3, 61.8 seconds
Pass@2, batch size 10, limit 4, 49.4 seconds
