Humaneval, Model WizardLM/WizardCoder-Python-13B-V1.0, 10 loops

Pass@0, batch size 26, limit 0, 83.8 seconds
Pass@1, batch size 26, limit 1, 103.1 seconds
Pass@10, batch size 1, limit 1, 20.8 seconds
Pass@10, batch size 1, limit 2, 27.6 seconds
Pass@10, batch size 1, limit 3, 33.5 seconds
Pass@10, batch size 1, limit 4, 30.8 seconds
Pass@5, batch size 3, limit 1, 36.3 seconds
Pass@5, batch size 3, limit 2, 51.7 seconds
Pass@5, batch size 3, limit 3, 43.8 seconds
Pass@5, batch size 3, limit 4, 58.6 seconds
Pass@4, batch size 6, limit 1, 72.1 seconds
Pass@4, batch size 6, limit 2, 73.6 seconds
Pass@4, batch size 6, limit 3, 85.7 seconds
Pass@4, batch size 6, limit 4, 77.3 seconds
Pass@3, batch size 8, limit 1, 54.2 seconds
Pass@3, batch size 8, limit 2, 69.3 seconds
Pass@3, batch size 8, limit 3, 73.7 seconds
Pass@3, batch size 8, limit 4, 91.1 seconds
Pass@2, batch size 12, limit 1, 71.6 seconds
Pass@2, batch size 12, limit 2, 94.6 seconds
Pass@2, batch size 12, limit 3, 97.3 seconds
Pass@2, batch size 12, limit 4, 85.0 seconds
Pass@1, batch size 24, limit 1, 99.8 seconds
Pass@1, batch size 24, limit 2, 97.5 seconds
Pass@1, batch size 24, limit 3, 95.4 seconds
Pass@1, batch size 24, limit 4, 126.2 seconds
Pass@0, batch size 24, limit 0, 75.0 seconds
