Model,Num GPUs Occupied,k,max batch,time per batch (s),Cost on full run ($),Final accu (%),True positive (%),True negative (%),False positive (%),False negative (%)
7B,2,0,26,18.9,0.0013247,44.5,/,/,/,/
,,1,26,29.7,0.0020816,44.5,42.7,37.2,18.3,1.8
,,2,12,30.9,0.0046923,48.8,45.9,28.5,22.6,3.0
,,3,10,28.7,0.0052298,50.1,47.6,24.1,25.8,2.6
,,4,7,27.6,0.0071848,52.6,50.2,20.8,26.6,2.4
,,5,5,24.5,0.0089289,54.1,51.3,18.0,27.9,2.7
,,10,3,39.5,0.0239926,55.3,52.5,12.9,31.8,2.8
13B,4,0,32,31.9,0.0036331,47.6,/,/,/,/
,,1,32,54.1,0.0061614,47.6,47.6,36.6,15.9,0.0
,,2,14,40.2,0.0104648,51.2,50.5,27.4,21.4,0.7
,,3,10,51.4,0.0187325,53.2,52.8,24.5,22.3,0.4
,,4,8,58.2,0.0265134,54.2,53.8,20.4,25.4,0.4
,,5,7,58.6,0.0305093,57.0,56.6,19.2,23.8,0.3
,,10,3,55.7,0.0676652,57.8,57.4,13.7,28.5,0.4
34B,8,0,32,64.3,0.0146462,58.5,/,/,/,/
,,1,32,103.7,0.0236206,58.5,54.9,28.8,13.4,3.7
,,2,20,148.0,0.0539378,56.2,51.8,22.8,21.0,4.3
,,3,15,129.5,0.0629275,59.7,56.2,18.7,21.6,3.5
,,4,12,120.2,0.0730104,61.3,57.3,17.3,21.4,4.0
,,5,10,125.3,0.0913298,62.2,58.5,14.8,23.0,3.7
,,10,6,133.9,0.1626638,64.6,61.1,11.4,24.0,3.5
